12,11,48,53.571
12,12,48,45.014
12,13,48,44.306
12,14,48,45.444
12,15,48,45.57
12,16,48,45.442
12,17,48,45.16
12,18,48,45.38
12,19,48,45.534
13,0,52,57.251
13,1,52,56.773
13,2,52,56.517
13,3,52,56.909
13,4,52,57.498
13,5,52,57.215
13,6,52,57.279
13,7,52,57.296
13,8,52,57.192
13,9,52,58.205
13,10,52,57.499
13,11,52,57.885
13,12,52,57.397
13,13,52,58.045
13,14,52,58.005
13,15,52,57.622
13,16,52,58.058
13,17,52,58.292
13,18,52,58.224
13,19,52,58.016
14,0,56,72.477
14,1,56,71.877
14,2,56,72.624
14,3,56,72.133
14,4,56,71.776
14,5,56,72.888
14,6,56,72.468
14,7,56,72.75
14,8,56,72.308
14,9,56,72.62
14,10,56,72.853
14,11,56,71.578
14,12,56,73.149
14,13,56,72.012
14,14,56,72.327
14,15,56,72.442
14,16,56,73.153
14,17,56,72.585
14,18,56,72.472
14,19,56,72.819
15,0,60,89.912
15,1,60,90.244
15,2,60,90.329
15,3,60,93.159
15,4,60,111.937
15,5,60,92.783
15,6,60,92.453
15,7,60,92.643
15,8,60,92.203
15,9,60,92.564
15,10,60,93.879
15,11,60,93.301
15,12,60,92.427
15,13,60,91.632
15,14,60,91.528
15,15,60,91.391
15,16,60,91.917
15,17,60,91.451
15,18,60,92.452
15,19,60,91.304
16,0,64,110.154
16,1,64,111.483
16,2,64,111.621
16,3,64,111.715
16,4,64,110.885
16,5,64,112.295
16,6,64,112.41
16,7,64,114.579
16,8,64,113.143
16,9,64,113.315
16,10,64,114.057
16,11,64,112.826
16,12,64,114.425
16,13,64,113.15
16,14,64,112.911
16,15,64,113.306
16,16,64,112.078
16,17,64,113.453
16,18,64,112.446
16,19,64,112.856
17,0,68,134.925
17,1,68,135.375
17,2,68,135.408
17,3,68,138.045
17,4,68,139.116
17,5,68,136.844
17,6,68,138.385
17,7,68,138.399
17,8,68,139.681
17,9,68,139.597
17,10,68,139.006
17,11,68,139.615
17,12,68,140.196
17,13,68,140.523
17,14,68,140.131
17,15,68,140.391
17,16,68,140.018
17,17,68,139.957
17,18,68,141.614
17,19,68,142.226
18,0,72,167.946
18,1,72,167.33
18,2,72,166.209
18,3,72,167.729
18,4,72,169.362
18,5,72,169.31
18,6,72,168.791
18,7,72,170.171
18,8,72,208.694
18,9,72,168.289
18,10,72,166.685
18,11,72,166.01
18,12,72,165.478
18,13,72,166.515
18,14,72,166.168
18,15,72,165.941
18,16,72,167.665
18,17,72,166.156
18,18,72,167.634
18,19,72,165.956
19,0,76,200.426
19,1,76,201.206
19,2,76,201.998
19,3,76,202.249
19,4,76,202.844
19,5,76,203.053
19,6,76,203.071
19,7,76,202.775
19,8,76,207.52
19,9,76,209.835
19,10,76,208.984
19,11,76,208.516
19,12,76,206.195
19,13,76,207.379
19,14,76,205.676
19,15,76,203.767
19,16,76,206.374
19,17,76,207.37
19,18,76,208.728
19,19,76,206.739
20,0,80,245.25
20,1,80,244.61
20,2,80,246.919
20,3,80,246.542
20,4,80,247.999
20,5,80,246.757
20,6,80,243.76
20,7,80,242.932
20,8,80,245.604
20,9,80,245.875
20,10,80,246.87
20,11,80,246.708
20,12,80,247.559
20,13,80,247.78
20,14,80,248.515
20,15,80,249.685
20,16,80,246.679
20,17,80,245.162
20,18,80,244.892
20,19,80,247.203
21,0,84,287.361
21,1,84,291.095
21,2,84,293.042
21,3,84,293.037
